Columna1,Columna1
-5759.999999999993,1
-4297.103999999999,1
-4205.000000000002,1
-3016.0,1
-2045.0,1
-1011.3599999999999,1
-1000.8500000000013,1
-1000.8499999999995,3
-865.0,1
-669.0,1
-634.0,1
-540.1499999999996,1
-509.0546,1
-465.45000000000005,1
-432.0,1
-426.1300000000001,1
-390.00000000000045,1
-275.0,2
-264.0,1
-229.0,1
-202.0,1
-200.0,1
-139.0,1
-138.80000000000007,1
-125.0,5
-95.0,1
-63.210000000000036,2
-32.0,1
-0.3400000000000034,1
-0.010000000000218279,1
-0.01,18
0.0,3102
5.939999999999998,3
6.299999999999983,1
7.059999999999945,1
7.060000000000059,5
7.769999999999982,1
8.639999999999986,1
9.730000000000018,1
14.169999999999959,6
14.170000000000073,2
17.9,1
22.57000000000005,2
29.210000000000036,1
40.590000000000146,2
46.61999999999989,1
49.9,1
53.24000000000001,1
69.0,1
69.95,1
72.0,1
93.0,1
97.8,1
99.9,1
115.0,1
126.75,1
128.0,1
161.45,1
168.0,1
170.0,2
179.0,1
187.6,1
199.0,1
214.9,1
214.99,1
235.0,1
236.5,1
243.0,1
255.0,1
260.5,1
264.0,1
265.0,2
303.0,1
314.0,1
318.0,1
319.95,1
328.0,1
334.0,1
353.0,1
358.0,2
358.5,1
449.0,1
459.2,1
461.0,1
464.9,1
473.0,1
478.0,1
480.1,1
483.36,1
487.0,1
487.1,1
497.5,1
499.0,1
525.75,1
538.0,1
539.0,1
583.8,1
597.0,1
613.9,1
627.5,1
649.0,1
660.4,1
691.0,1
705.7,1
736.65,1
777.0,1
782.25,1
802.3,1
817.9,1
857.3,1
867.99,1
880.9,1
925.95,1
979.75,1
1009.2,1
1011.3599999999999,1
1035.5,1
1069.5,1
1120.24,1
1165.1,1
1185.0,1
1205.25,1
1238.35,1
1300.0,1
1351.0,1
1360.8,1
1390.9,1
1395.0,1
1432.3,1
1451.05,1
1474.3,1
1475.5,1
1537.1,1
1569.3,1
1574.55,1
1600.01,1
1617.35,1
1700.8000000000002,1
1720.91,1
1723.65,1
1725.8,1
1771.95,1
1800.85,1
1891.55,1
1953.95,2
1975.1,1
1993.15,1
2089.9,1
2120.7,1
2146.5,1
2155.25,1
2175.0,1
2211.25,1
2212.25,1
2334.45,1
2360.65,1
2405.73,1
2411.8,1
2460.55,1
2532.8,1
2583.75,1
2657.85,1
2688.67,1
2917.6,1
2947.35,1
2955.75,1
3310.5,1
3567.0,1
3616.6,1
3763.8,1
3789.05,1
4268.92,1
4311.6,1
4709.4,1
5378.95,1
5626.35,1
6179.45,1
6977.05,1
7979.3,1
8132.8,1
10598.800000000001,1
13359.57,1
14051.72,1
16200.71,11
21581.39,1
26134.68,1
73153.15,1
258000.0,1
